count,type,name,buy_cost,play_cost,ip_value,on_card_description,art_description
3,Component,Red Square,3,2,2,"Connects to its listed Color or Shape.","A bold, glowing red square with connection ports shining on its four sides."
3,Component,Red Circle,3,2,2,"Connects to its listed Color or Shape.","A perfect, glowing red circle with a continuous light for its connection port."
3,Component,Red Triangle,3,2,2,"Connects to its listed Color or Shape.","A sharp, glowing red triangle with bright connection ports at its three corners."
3,Component,Blue Square,3,2,2,"Connects to its listed Color or Shape.","A bold, glowing blue square with connection ports shining on its four sides."
3,Component,Blue Circle,3,2,2,"Connects to its listed Color or Shape.","A perfect, glowing blue circle with a continuous light for its connection port."
3,Component,Blue Triangle,3,2,2,"Connects to its listed Color or Shape.","A sharp, glowing blue triangle with bright connection ports at its three corners."
3,Component,Yellow Square,3,2,2,"Connects to its listed Color or Shape.","A bold, glowing yellow square with connection ports shining on its four sides."
3,Component,Yellow Circle,3,2,2,"Connects to its listed Color or Shape.","A perfect, glowing yellow circle with a continuous light for its connection port."
3,Component,Yellow Triangle,3,2,2,"Connects to its listed Color or Shape.","A sharp, glowing yellow triangle with bright connection ports at its three corners."
1,Component,Critical Mass,5,4,6,"Maintenance: At the start of your turn, pay 2 Flux or destroy this and lose 3 IP.","A component that looks like a miniature, contained star, with unstable arcs of energy flaring off its surface."
1,Component,The Anchor,3,2,0,"Cannot be destroyed or moved by opponents. Adjacent Components gain +1 IP.","A heavy, dark metal component bolted directly onto the hex grid with four large rivets."
1,Component,Mimic Gel,4,3,1,"This Component copies the Color and Shape of one adjacent Component.","A shimmering, amorphous blob of light that is beginning to form into the shape of a neighboring component."
2,Modifier,Amplifier,4,3,N/A,"Double this Component's IP.","A series of concentric, glowing rings radiating outward from a central point, like a sonic boom."
2,Modifier,Bridge,4,3,N/A,"This Component can connect to any Color or Shape.","Two disconnected components with a shimmering, hard-light bridge materializing between them."
2,Modifier,Harmonizer,4,3,N/A,"This Component gains +1 IP for each unique color in your Grid.","Three streams of light (Red, Blue, Yellow) weaving together into a complex, braided pattern."
2,Modifier,Factory (Red),5,3,N/A,"Once per turn, when you Implement another Red Component, draw a card.","A schematic showing a red component entering a simple machine, with two red components exiting."
2,Modifier,Factory (Blue),5,3,N/A,"Once per turn, when you Implement another Blue Component, draw a card.","A schematic showing a blue component entering a simple machine, with two blue components exiting."
2,Modifier,Factory (Yellow),5,3,N/A,"Once per turn, when you Implement another Yellow Component, draw a card.","A schematic showing a yellow component entering a simple machine, with two yellow components exiting."
2,Modifier,Structural Flaw,4,3,N/A,"Attach to an opponent's Component. It has -2 IP (min 0).","A schematic of a perfect component, but with a jagged, red, crackling line running through it."
2,Modifier,Shielding,3,2,N/A,"This Component cannot be targeted by opponents' Actions or Modifiers.","A faint, hexagonal energy shield shimmering around a component."
2,Modifier,Relay,3,2,N/A,"This Component may use the connection properties of one adjacent Component.","A glowing line of energy branching off from one component and connecting to another's port."
1,Modifier,Quantum Entanglement,4,4,N/A,"Choose an opponent's Component. When an Action affects this Component, it also affects the chosen one.","Two glowing particles, one on each side of the card, linked by a single, shimmering thread of light."
3,Action,Schematics,3,1,N/A,"Draw 2 cards.","A hand holding a translucent screen that displays a glowing blueprint of interconnected shapes."
3,Action,Decommission,2,0,N/A,"Trash a card from your hand or discard pile. You may pay 2 Flux to also trash a card from a Repository stack.","A card icon being fed into a pixelated disintegrator, turning into dust particles."
3,Action,Reserve Schematic,2,1,N/A,"Place your Reserve token on a Repository stack. Only you can buy from it until your next turn.","A blueprint card with a glowing, translucent ""lock"" icon projected on top of it."
3,Action,Catalyst Converter,2,0,N/A,"Trash a Minor Flux from your hand to gain 2 Flux.","A diagram showing a single thin line of energy entering a converter and two thick lines exiting."
2,Action,Overclock,3,0,N/A,"Pay 3 Flux to Implement a Component from your hand, ignoring its Build Cost.","A component glowing white-hot, with visible speed lines streaking off it, as if in overdrive."
